========================
PROJECT 3 — LOAD BALANCER LOG
========================
Servers (start): 10
Clock cycles: 10000
TASK TIME RANGE (required): [MIN=5, MAX=40] cycles

Scaling policy:
  Lower threshold = 50 * active_servers
  Upper threshold = 80 * active_servers
  Rest window after scaling (n): 25 cycles

Request arrival model:
  Arrival chance per cycle: 0.3
  Batch size per arrival: 1 to 2
  Initial fill rule: servers * 100

Firewall / IP blocker:
  Blocked ranges: 192.168.10., 10.10.
  Rejection action: discard + log
========================
[INFO] Starting queue size (required): 1000 (seeded from servers * 100)
[SCALE_UP] t=00001 SCALE_UP to 11 | queue=990 (above 80*servers)
[ARRIVAL] t=00003 ARRIVAL +2 | queue=991 | rejected_total=0
[ARRIVAL] t=00004 ARRIVAL +2 | queue=993 | rejected_total=0
[ARRIVAL] t=00005 ARRIVAL +2 | queue=995 | rejected_total=0
[ARRIVAL] t=00019 ARRIVAL +2 | queue=995 | rejected_total=0
[ARRIVAL] t=00021 ARRIVAL +1 | queue=996 | rejected_total=0
[ARRIVAL] t=00024 ARRIVAL +2 | queue=998 | rejected_total=0
[SCALE_UP] t=00027 SCALE_UP to 12 | queue=997 (above 80*servers)
[ARRIVAL] t=00030 ARRIVAL +1 | queue=996 | rejected_total=0
[ARRIVAL] t=00032 ARRIVAL +2 | queue=996 | rejected_total=0
[ARRIVAL] t=00033 ARRIVAL +1 | queue=995 | rejected_total=0
[ARRIVAL] t=00036 ARRIVAL +2 | queue=995 | rejected_total=0
[ARRIVAL] t=00037 ARRIVAL +1 | queue=995 | rejected_total=0
[ARRIVAL] t=00038 ARRIVAL +2 | queue=995 | rejected_total=0
[ARRIVAL] t=00042 ARRIVAL +2 | queue=995 | rejected_total=0
[ARRIVAL] t=00046 ARRIVAL +1 | queue=996 | rejected_total=0
[ARRIVAL] t=00047 ARRIVAL +2 | queue=998 | rejected_total=0
[ARRIVAL] t=00052 ARRIVAL +1 | queue=998 | rejected_total=0
[SCALE_UP] t=00053 SCALE_UP to 13 | queue=997 (above 80*servers)
[ARRIVAL] t=00054 ARRIVAL +2 | queue=998 | rejected_total=0
[ARRIVAL] t=00055 ARRIVAL +1 | queue=999 | rejected_total=0
[ARRIVAL] t=00058 ARRIVAL +2 | queue=1000 | rejected_total=0
[ARRIVAL] t=00059 ARRIVAL +1 | queue=1000 | rejected_total=0
[ARRIVAL] t=00060 ARRIVAL +1 | queue=1001 | rejected_total=0
[ARRIVAL] t=00064 ARRIVAL +2 | queue=1002 | rejected_total=0
[ARRIVAL] t=00065 ARRIVAL +2 | queue=1003 | rejected_total=0
[ARRIVAL] t=00070 ARRIVAL +1 | queue=999 | rejected_total=0
[ARRIVAL] t=00073 ARRIVAL +2 | queue=1000 | rejected_total=0
[ARRIVAL] t=00080 ARRIVAL +2 | queue=998 | rejected_total=0
[ARRIVAL] t=00083 ARRIVAL +1 | queue=999 | rejected_total=0
[ARRIVAL] t=00084 ARRIVAL +1 | queue=1000 | rejected_total=0
[ARRIVAL] t=00087 ARRIVAL +2 | queue=999 | rejected_total=0
[ARRIVAL] t=00088 ARRIVAL +2 | queue=1001 | rejected_total=0
[ARRIVAL] t=00092 ARRIVAL +1 | queue=1001 | rejected_total=0
[HEARTBEAT] t=00100 queue=995 servers=13 busy=13 completed=41 rejected=0
[ARRIVAL] t=00103 ARRIVAL +1 | queue=996 | rejected_total=0
[ARRIVAL] t=00106 ARRIVAL +2 | queue=995 | rejected_total=0
[ARRIVAL] t=00107 ARRIVAL +1 | queue=994 | rejected_total=0
[ARRIVAL] t=00109 ARRIVAL +1 | queue=994 | rejected_total=0
[ARRIVAL] t=00113 ARRIVAL +2 | queue=995 | rejected_total=0
[ARRIVAL] t=00115 ARRIVAL +2 | queue=995 | rejected_total=0
[ARRIVAL] t=00120 ARRIVAL +1 | queue=994 | rejected_total=0
[ARRIVAL] t=00124 ARRIVAL +2 | queue=992 | rejected_total=0
[ARRIVAL] t=00125 ARRIVAL +2 | queue=994 | rejected_total=0
[ARRIVAL] t=00134 ARRIVAL +2 | queue=993 | rejected_total=0
[ARRIVAL] t=00135 ARRIVAL +2 | queue=994 | rejected_total=0
[ARRIVAL] t=00140 ARRIVAL +2 | queue=994 | rejected_total=0
[ARRIVAL] t=00141 ARRIVAL +2 | queue=996 | rejected_total=0
